ticket_id,issue_type,issue_description,case_owner,case_owner_description,street_address,city,state_province,zip_postal_code,neighborhood_district_ward_etc,created_year_month,ticket_created_date_time,ticket_last_updated_date_time,ticket_closed_date_time,ticket_status,x_coordinate,y_coordinate,latitude,longitude,location_geo_coded,method_received,goal_days,actual_completed_days,days_open
18-10218522,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,11 W OKEECHOBEE RD,City_of_Hialeah,Florida,33010,District 6,20186,2018-06-01,2018-06-01,NA,OPEN,892649.053,542119.941,25.823314,-80.281089,"11 W OKEECHOBEE RD
MIAMI, Florida 33010
(25.823314, -80.281089)",PHONE,3,NA,16
18-10218595,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,520 W 49TH ST,City_of_Hialeah,Florida,33012,District 13,20186,2018-06-01,2018-06-01,NA,OPEN,888288.215,557404.958,25.865431,-80.294096,"520 W 49TH ST
MIAMI, Florida 33012
(25.865431, -80.294096)",PHONE,3,NA,16
18-10218691,TETHERED DOG,NA,Animal_Services,Animal Services,1635 NW 34TH ST,City_of_Miami,Florida,33142,District 3,20186,2018-06-01,2018-06-01,NA,OPEN,911731.749,536652.684,25.807974,-80.22318,"1635 NW 34TH ST
MIAMI, Florida 33142
(25.807974, -80.22318)",PHONE,14,NA,16
18-10218707,TETHERED DOG,NA,Animal_Services,Animal Services,1538 NW 34TH ST,City_of_Miami,Florida,33142,District 3,20186,2018-06-01,2018-06-01,NA,OPEN,911929.312,536482.06,25.807501,-80.222582,"1538 NW 34TH ST
MIAMI, Florida 33142
(25.807501, -80.222582)",PHONE,14,NA,16
18-10218853,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,4400 W 4TH AVE,City_of_Hialeah,Florida,33012,District 13,20186,2018-06-01,2018-06-01,NA,OPEN,889283.258,556363.686,25.862551,-80.291087,"4400 W 4TH AVE
MIAMI, Florida 33012
(25.862551, -80.291087)",PHONE,3,NA,16
18-10218962,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,911 W OKEECHOBEE RD,City_of_Hialeah,Florida,33010,District 13,20186,2018-06-01,2018-06-01,NA,OPEN,889738.997,544477.419,25.829843,-80.289897,"911 W OKEECHOBEE RD
MIAMI, Florida 33010
(25.829843, -80.289897)",PHONE,3,NA,16
18-10219000,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,8333 W OKEECHOBEE RD,City_of_Hialeah_Gardens,Florida,33016,District 12,20186,2018-06-01,2018-06-01,NA,OPEN,875238.961,556632.45,25.863493,-80.33379,"8333 W OKEECHOBEE RD
MIAMI, Florida 33016
(25.863493, -80.33379)",PHONE,3,NA,16
18-10219022,DOG TRAP REQUEST,NA,Animal_Services,Animal Services,14041 NW 17TH AVE,Miami_Dade_County,Florida,33167,District 2,20186,2018-06-01,2018-06-01,NA,OPEN,910375.686,571262.435,25.903213,-80.226682,"14041 NW 17TH AVE
MIAMI, Florida 33167
(25.903213, -80.226682)",PHONE,12,NA,16
18-10219048,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,2201 NW 11TH ST,City_of_Miami,Florida,33125,District 5,20186,2018-06-01,2018-06-01,NA,OPEN,908585.31,528005.437,25.784234,-80.232896,"2201 NW 11TH ST
MIAMI, Florida 33125
(25.784234, -80.232896)",PHONE,3,NA,16
18-10204664,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,1326 PERI ST,City_of_Opa-Locka,Florida,33054,District 1,20185,2018-05-24,2018-05-28,NA,OPEN,904290.063,573605.748,25.909757,-80.245153,"1326 PERI ST
MIAMI, Florida 33054
(25.909757, -80.245153)",PHONE,3,NA,24
18-10204892,LOST PET,NA,Animal_Services,Animal Services,150 NW 123RD AVE,Miami_Dade_County,Florida,33182,District 12,20185,2018-05-24,2018-05-24,NA,OPEN,855160.308,522189.004,25.768997,-80.395328,"150 NW 123RD AVE
MIAMI, Florida 33182
(25.768997, -80.395328)",PHONE,3,NA,24
18-10205031,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,2140 NW 93RD ST,Miami_Dade_County,Florida,33147,District 2,20185,2018-05-24,2018-05-24,NA,OPEN,908443.748,555043.937,25.858624,-80.232847,"2140 NW 93RD ST
MIAMI, Florida 33147
(25.858624, -80.232847)",PHONE,3,NA,24
18-10205071,LOST PET,NA,Animal_Services,Animal Services,8925 SW 27TH ST,Miami_Dade_County,Florida,33165,District 10,20185,2018-05-24,2018-05-24,NA,OPEN,873343.911,513682.656,25.745353,-80.340207,"8925 SW 27TH ST
MIAMI, Florida 33165
(25.745353, -80.340207)",PHONE,3,NA,24
18-10205414,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,431 NE 110TH TER,Miami_Dade_County,Florida,33161,District 3,20185,2018-05-24,2018-05-24,NA,OPEN,922782.999,561855.998,25.877128,-80.189118,"431 NE 110TH TER
MIAMI, Florida 33161
(25.877128, -80.189118)",IPHONE,3,NA,24
18-10206063,LOST PET,NA,Animal_Services,Animal Services,4391 NW 169TH TER,City_of_Miami_Gardens,Florida,33055,District 1,20185,2018-05-24,2018-05-24,NA,OPEN,895237.247,580111.312,25.927796,-80.272582,"4391 NW 169TH TER
MIAMI, Florida 33055
(25.927796, -80.272582)",PHONE,3,NA,24
18-10206219,CAT TRAP REQUEST,NA,Animal_Services,Animal Services,8414 NW 103RD ST,City_of_Hialeah_Gardens,Florida,33016,District 12,20185,2018-05-24,2018-05-24,NA,OPEN,874388.423,558421.769,25.868428,-80.336349,"8414 NW 103RD ST
MIAMI, Florida 33016
(25.868428, -80.336349)",PHONE,15,NA,24
18-10206244,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,3252 NW 48TH ST,Miami_Dade_County,Florida,33142,District 3,20185,2018-05-24,2018-05-28,NA,OPEN,902966.464,540124.408,25.817665,-80.249761,"3252 NW 48TH ST
MIAMI, Florida 33142
(25.817665, -80.249761)",PHONE,3,NA,24
18-10206496,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,5810 NW 7TH PL,City_of_Miami,Florida,33127,District 3,20185,2018-05-24,2018-05-24,NA,OPEN,915990.624,544325.187,25.829012,-80.210095,"5810 NW 7TH PL
MIAMI, Florida 33127
(25.829012, -80.210095)",PHONE,3,NA,24
18-10206500,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,867 NW 73RD ST,Miami_Dade_County,Florida,33150,District 3,20185,2018-05-24,2018-05-28,NA,OPEN,915279.06,549072.623,25.842085,-80.212172,"867 NW 73RD ST
MIAMI, Florida 33150
(25.842085, -80.212172)",PHONE,3,NA,24
18-10218086,ANIMAL SERVICES DOG TAG CHECK,NA,Animal_Services,Animal Services,3632 NW 203RD ST,City_of_Miami_Gardens,Florida,33056,District 1,20186,2018-06-01,2018-06-04,NA,OPEN,898824.122,591510.061,25.959101,-80.261473,"3632 NW 203RD ST
MIAMI, Florida 33056
(25.959101, -80.261473)",PHONE,0,NA,16
18-10218780,STRAY DOG PICK UP - MD,NA,Animal_Services,Animal Services,560 NE 67TH ST,City_of_Miami,Florida,33138,District 3,20186,2018-06-01,2018-06-02,NA,OPEN,924208.372,547330.124,25.837141,-80.185057,"560 NE 67TH ST
MIAMI, Florida 33138
(25.837141, -80.185057)",PHONE,2,NA,16
18-10218781,TETHERED DOG,NA,Animal_Services,Animal Services,14502 ARDOCH RD,City_of_Miami_Lakes,Florida,33016,District 13,20186,2018-06-01,2018-06-04,NA,OPEN,874314.564,571713.626,25.904998,-80.336369,"14502 ARDOCH RD
MIAMI, Florida 33016
(25.904998, -80.336369)",IPHONE,14,NA,16
18-10218834,STRAY DOG PICK UP - MD,NA,Animal_Services,Animal Services,20700 NW 2ND AVE,City_of_Miami_Gardens,Florida,33169,District 1,20186,2018-06-01,2018-06-04,NA,OPEN,916820.144,594195.636,25.966199,-80.206657,"20700 NW 2ND AVE
MIAMI, Florida 33169
(25.966199, -80.206657)",PHONE,2,NA,16
18-10219239,DEAD ANIMAL PICKUP MD,NA,Animal_Services,Animal Services,8850 NW 118TH ST,City_of_Hialeah_Gardens,Florida,33018,District 12,20186,2018-06-02,2018-06-04,NA,OPEN,872347.373,562865.623,25.880682,-80.342488,"8850 NW 118TH ST
MIAMI, Florida 33018
(25.880682, -80.342488)",PHONE,4,NA,15
18-10219374,STRAY DOG PICK UP - MD,NA,Animal_Services,Animal Services,3348 NW 46TH ST,Miami_Dade_County,Florida,33142,District 2,20186,2018-06-02,2018-06-02,NA,OPEN,902511.04,539559.348,25.816117,-80.251155,"3348 NW 46TH ST
MIAMI, Florida 33142
(25.816117, -80.251155)",PHONE,2,NA,15
18-10219328,STRAY DOG PICK UP - MD,NA,Animal_Services,Animal Services,14920 TYLER ST,Miami_Dade_County,Florida,33176,District 9,20186,2018-06-02,2018-06-04,NA,OPEN,863179.375,471823.655,25.630323,-80.37169,"14920 TYLER ST
MIAMI, Florida 33176
(25.630323, -80.37169)",PHONE,2,NA,15
18-10219428,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,709 OPA LOCKA BLVD,City_of_Opa-Locka,Florida,33054,District 2,20186,2018-06-02,2018-06-04,NA,OPEN,902779.161,570235.376,25.900509,-80.249807,"709 OPA LOCKA BLVD
MIAMI, Florida 33054
(25.900509, -80.249807)",PHONE,3,NA,15
18-10219446,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,3381 NW 178TH ST,City_of_Miami_Gardens,Florida,33056,District 1,20186,2018-06-02,2018-06-04,NA,OPEN,900299.747,583265.436,25.936395,-80.257125,"3381 NW 178TH ST
MIAMI, Florida 33056
(25.936395, -80.257125)",PHONE,3,NA,15
18-10219484,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,4451 NW 185TH ST,City_of_Miami_Gardens,Florida,33055,District 1,20186,2018-06-02,2018-06-04,NA,OPEN,894731.874,585622.123,25.942965,-80.274026,"4451 NW 185TH ST
MIAMI, Florida 33055
(25.942965, -80.274026)",PHONE,3,NA,15
18-10219521,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,780 NW 198TH ST,City_of_Miami_Gardens,Florida,33169,District 1,20186,2018-06-02,2018-06-02,NA,OPEN,913978.499,590380.062,25.955749,-80.215375,"780 NW 198TH ST
MIAMI, Florida 33169
(25.955749, -80.215375)",PHONE,3,NA,15
18-10219558,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,2370 NW 17TH AVE,City_of_Miami,Florida,33142,District 3,20186,2018-06-02,2018-06-02,NA,OPEN,911522.478,533457.624,25.799187,-80.223873,"2370 NW 17TH AVE
MIAMI, Florida 33142
(25.799187, -80.223873)",PHONE,3,NA,15
18-10219559,STRAY DOG PICK UP - MD,NA,Animal_Services,Animal Services,4696 E 10TH AVE,City_of_Hialeah,Florida,33013,District 13,20186,2018-06-02,2018-06-02,NA,OPEN,898461.497,557465.435,25.865444,-80.263159,"4696 E 10TH AVE
MIAMI, Florida 33013
(25.865444, -80.263159)",PHONE,2,NA,15
18-10219575,LOST PET,NA,Animal_Services,Animal Services,201 W 44TH ST,City_of_Hialeah,Florida,33012,District 13,20186,2018-06-02,2018-06-02,NA,OPEN,890634.999,556324.937,25.862425000000002,-80.286977,"201 W 44TH ST
MIAMI, Florida 33012
(25.862425, -80.286977)",PHONE,3,NA,15
18-10219584,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,5515 NE 4TH AVE,City_of_Miami,Florida,33137,District 3,20186,2018-06-02,2018-06-04,NA,OPEN,923331.027,543387.977,25.826311,-80.187799,"5515 NE 4TH AVE
MIAMI, Florida 33137
(25.826311, -80.187799)",ANDROID,3,NA,15
18-10219645,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,1612 NW 32ND AVE,City_of_Miami,Florida,33125,District 5,20186,2018-06-02,2018-06-02,NA,OPEN,903639.387,529718.641,25.789026,-80.247896,"1612 NW 32ND AVE
MIAMI, Florida 33125
(25.789026, -80.247896)",PHONE,3,NA,15
18-10206791,LOST PET,NA,Animal_Services,Animal Services,322 TO TO LO CHEE DR,City_of_Hialeah,Florida,33010,District 6,20185,2018-05-25,2018-05-25,NA,OPEN,894905.124,540925.999,25.819995,-80.274251,"322 TO TO LO CHEE DR
MIAMI, Florida 33010
(25.819995, -80.274251)",PHONE,3,NA,23
18-10206851,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,14741 PIERCE ST,Miami_Dade_County,Florida,33176,District 9,20185,2018-05-25,2018-05-25,NA,OPEN,863960.687,472619.062,25.632501,-80.369307,"14741 PIERCE ST
MIAMI, Florida 33176
(25.632501, -80.369307)",PHONE,3,NA,23
18-10207447,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,678 NE 67TH ST,City_of_Miami,Florida,33138,District 3,20185,2018-05-25,2018-05-25,NA,OPEN,925020.875,547339.124,25.837152,-80.182587,"678 NE 67TH ST
MIAMI, Florida 33138
(25.837152, -80.182587)",PHONE,3,NA,23
18-10207599,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,1475 NW 12TH AVE,City_of_Miami,Florida,33136,District 3,20185,2018-05-25,2018-05-28,NA,OPEN,914601.991,529698.063,25.788793,-80.214582,"1475 NW 12TH AVE
MIAMI, Florida 33136
(25.788793, -80.214582)",PHONE,3,NA,23
18-10207635,LOST PET,NA,Animal_Services,Animal Services,2295 NW 64TH ST,Miami_Dade_County,Florida,33147,District 3,20185,2018-05-25,2018-05-25,NA,OPEN,907809.625,545919.31,25.833531,-80.234937,"2295 NW 64TH ST
MIAMI, Florida 33147
(25.833531, -80.234937)",PHONE,3,NA,23
18-10207681,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,9490 W OKEECHOBEE RD,City_of_Hialeah_Gardens,Florida,33016,District 12,20185,2018-05-25,2018-05-28,NA,OPEN,876947.011,555207.245,25.859548,-80.328618,"9490 W OKEECHOBEE RD
MIAMI, Florida 33016
(25.859548, -80.328618)",PHONE,3,NA,23
18-10207850,CAT TRAP REQUEST,NA,Animal_Services,Animal Services,5070 N BAY RD,City_of_Miami_Beach,Florida,33140,District 4,20185,2018-05-25,2018-05-25,NA,OPEN,941457.061,544200.375,25.828227,-80.132683,"5070 N BAY RD
MIAMI, Florida 33140
(25.828227, -80.132683)",INHOUSE,15,NA,23
18-10207936,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,20831 SW 123RD AVE,Miami_Dade_County,Florida,33177,District 9,20185,2018-05-25,2018-05-25,NA,OPEN,856873.753,450780.751,25.572507,-80.391121,"20831 SW 123RD AVE
MIAMI, Florida 33177
(25.572507, -80.391121)",PHONE,3,NA,23
18-10208337,LOST PET,NA,Animal_Services,Animal Services,19494 SW 196TH ST,Miami_Dade_County,Florida,33187,District 9,20185,2018-05-25,2018-05-25,NA,OPEN,818225.126,454323.157,25.582694,-80.508325,"19494 SW 196TH ST
MIAMI, Florida 33187
(25.582694, -80.508325)",PHONE,3,NA,23
18-10208386,ANIMAL SERVICES DOG TAG CHECK,NA,Animal_Services,Animal Services,15655 NW 157TH STREET RD,City_of_Miami_Gardens,Florida,33054,District 1,20185,2018-05-25,2018-06-02,NA,OPEN,905871.999,576343.312,25.917264,-80.240292,"15655 NW 157TH STREET RD
MIAMI, Florida 33054
(25.917264, -80.240292)",PHONE,0,NA,23
18-10208394,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,14200 SW 166TH TER,Miami_Dade_County,Florida,33177,District 9,20185,2018-05-25,2018-05-25,NA,OPEN,846324.647,465238.822,25.612416,-80.422931,"14200 SW 166TH TER
MIAMI, Florida 33177
(25.612416, -80.422931)",PHONE,3,NA,23
18-10208420,CAT TRAP REQUEST,NA,Animal_Services,Animal Services,3427 SW 64TH AVE,Miami_Dade_County,Florida,33155,District 6,20185,2018-05-25,2018-05-25,NA,OPEN,887017.81,511078.685,25.737995,-80.29871,"3427 SW 64TH AVE
MIAMI, Florida 33155
(25.737995, -80.29871)",INHOUSE,15,NA,23
18-10208432,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,36800 SW 8TH ST,Miami_Dade_County,Florida,33194,District 12,20185,2018-05-25,2018-05-25,NA,OPEN,725403.352,519178.502,25.761818,-80.789625,"36800 SW 8TH ST
MIAMI, Florida 33194
(25.761818, -80.789625)",PHONE,3,NA,23
18-10208389,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,4546 NW 185TH ST,City_of_Miami_Gardens,Florida,33055,District 1,20185,2018-05-25,2018-05-28,NA,OPEN,894071.936,585234.811,25.941909,-80.276041,"4546 NW 185TH ST
MIAMI, Florida 33055
(25.941909, -80.276041)",PHONE,3,NA,23
18-10208434,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,375 NE 154TH ST,Miami_Dade_County,Florida,33162,District 2,20185,2018-05-25,2018-05-29,NA,OPEN,921623.437,576362.686,25.917058,-80.192373,"375 NE 154TH ST
MIAMI, Florida 33162
(25.917058, -80.192373)",WEB,3,NA,23
18-10208457,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,11052 SW 25TH ST,Miami_Dade_County,Florida,33165,District 10,20185,2018-05-25,2018-05-25,NA,OPEN,861996.916,513636.809,25.745379,-80.374679,"11052 SW 25TH ST
MIAMI, Florida 33165
(25.745379, -80.374679)",PHONE,3,NA,23
18-10208449,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,8500 NW 24TH AVE,Miami_Dade_County,Florida,33147,District 2,20185,2018-05-25,2018-05-29,NA,OPEN,906740.061,552620.685,25.851985,-80.23807,"8500 NW 24TH AVE
MIAMI, Florida 33147
(25.851985, -80.23807)",WEB,3,NA,23
18-10203185,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,NE 16TH AVE & NE 183RD ST,City_of_North_Miami_Beach,Florida,33162,District 4,20185,2018-05-23,2018-05-23,NA,OPEN,929306.687,586219.186,25.944042,-80.168809,"NE 16TH AVE &amp; NE 183RD ST
MIAMI, Florida 33162
(25.944042, -80.168809)",PHONE,3,NA,25
18-10204973,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,79 SW 12TH ST,City_of_Miami,Florida,33130,District 5,20185,2018-05-24,2018-06-04,NA,OPEN,921193.38,520276.504,25.762763,-80.194726,"79 SW 12TH ST
MIAMI, Florida 33130
(25.762763, -80.194726)",FAX,14,NA,24
18-10216898,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,11807 SW 272ND TER,Miami_Dade_County,Florida,33032,District 9,20185,2018-05-31,2018-06-03,NA,OPEN,859904.686,429714.064,25.514506,-80.382224,"11807 SW 272ND TER
MIAMI, Florida 33032
(25.514506, -80.382224)",PHONE,14,NA,17
18-10217667,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,4431 SW 4TH ST,City_of_Miami,Florida,33134,District 6,20186,2018-06-01,2018-06-03,NA,OPEN,896984.248,522120.313,25.768224,-80.268249,"4431 SW 4TH ST
MIAMI, Florida 33134
(25.768224, -80.268249)",FAX,14,NA,16
18-10218457,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,WILMINGTON ST & NW 20TH AVE,City_of_Opa-Locka,Florida,33054,District 1,20186,2018-06-01,2018-06-01,NA,OPEN,908409.186,572829.75,25.907557,-80.232636,"WILMINGTON ST &amp; NW 20TH AVE
MIAMI, Florida 33054
(25.907557, -80.232636)",PHONE,3,NA,16
18-10218752,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,928 NW 34TH AVE,City_of_Miami,Florida,33125,District 5,20186,2018-06-01,2018-06-03,NA,OPEN,902474.935,527064.687,25.781743,-80.251481,"928 NW 34TH AVE
MIAMI, Florida 33125
(25.781743, -80.251481)",PHONE,14,NA,16
18-10219298,STRAY DOG PICK UP - MD,NA,Animal_Services,Animal Services,6234 NW MIAMI PL,City_of_Miami,Florida,33150,District 3,20186,2018-06-02,2018-06-03,NA,OPEN,920024.624,545915.373,25.83332,-80.197803,"6234 NW MIAMI PL
MIAMI, Florida 33150
(25.83332, -80.197803)",PHONE,2,NA,15
18-10219366,STRAY DOG PICK UP - MD,NA,Animal_Services,Animal Services,1445 NW 55TH TER,City_of_Miami,Florida,33142,District 3,20186,2018-06-02,2018-06-03,NA,OPEN,912274.687,543302.059,25.826258,-80.22141,"1445 NW 55TH TER
MIAMI, Florida 33142
(25.826258, -80.22141)",PHONE,2,NA,15
18-10218982,ANIMAL BITE TO A PERSON,NA,Animal_Services,Animal Services,285 W 17TH ST,City_of_Hialeah,Florida,33010,District 6,20186,2018-06-01,2018-06-04,NA,OPEN,890471.875,547192.248,25.837301,-80.287624,"285 W 17TH ST
MIAMI, Florida 33010
(25.837301, -80.287624)",PHONE,14,NA,16
18-10219545,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,W 79TH ST & W 18TH AVE,City_of_Hialeah,Florida,33014,District 12,20186,2018-06-02,2018-06-02,NA,OPEN,879689.998,567913.311,25.894467,-80.320077,"W 79TH ST &amp; W 18TH AVE
MIAMI, Florida 33014
(25.894467, -80.320077)",PHONE,3,NA,15
18-10198429,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,SW 296TH ST & SW 157TH AVE,Miami_Dade_County,Florida,33033,District 8,20185,2018-05-21,2018-05-21,NA,OPEN,839270.249,421455.69,25.492034,-80.444894,"SW 296TH ST &amp; SW 157TH AVE
MIAMI, Florida 33033
(25.492034, -80.444894)",PHONE,3,NA,27
18-10208468,STRAY / DOG-AT-LARGE,NA,Animal_Services,Animal Services,2000 NW 19TH TER,City_of_Miami,Florida,33125,District 3,20185,2018-05-26,2018-05-29,NA,OPEN,909891.775,531126.804,25.792801,-80.22887,"2000 NW 19TH TER
MIAMI, Florida 33125
(25.792801, -80.22887)",WEB,3,NA,22
18-10208606,TETHERED DOG,NA,Animal_Services,Animal Services,2775 W OKEECHOBEE RD,City_of_Hialeah,Florida,33010,District 13,20185,2018-05-26,2018-05-26,NA,OPEN,882676.877,550333.083,25.846057,-80.311272,"2775 W OKEECHOBEE RD
MIAMI, Florida 33010
(25.846057, -80.311272)",PHONE,14,NA,22
18-10208611,TETHERED DOG,NA,Animal_Services,Animal Services,726 NW 70TH ST,City_of_Miami,Florida,33150,District 3,20185,2018-05-26,2018-05-26,NA,OPEN,916156.622,547779,25.838512,-80.209528,"726 NW 70TH ST
MIAMI, Florida 33150
(25.838512, -80.209528)",PHONE,14,NA,22
18-10208667,LOST PET,NA,Animal_Services,Animal Services,1320 NW 111TH ST,Miami_Dade_County,Florida,33167,District 2,20185,2018-05-26,2018-05-26,NA,OPEN,912330.685,561271.435,25.875694,-80.220916,"1320 NW 111TH ST
MIAMI, Florida 33167
(25.875694, -80.220916)",PHONE,3,NA,22
